id,date,value
1,2/1/1950,34.73
2,3/1/1950,34.73
3,4/1/1950,34.73
4,5/1/1950,34.73
5,6/1/1950,34.73
6,7/1/1950,34.73
7,8/1/1950,34.73
8,9/1/1950,34.73
9,10/1/1950,34.73
10,11/1/1950,34.73
11,12/1/1950,34.72
12,1/1/1951,34.72
13,2/1/1951,34.73
14,3/1/1951,34.73
15,4/1/1951,34.73
16,5/1/1951,34.73
17,6/1/1951,34.73
18,7/1/1951,34.72
19,8/1/1951,34.71
20,9/1/1951,34.71
21,10/1/1951,34.71
22,11/1/1951,34.73
23,12/1/1951,34.66
24,1/1/1952,34.49
25,2/1/1952,34.49
26,3/1/1952,34.68
27,4/1/1952,34.82
28,5/1/1952,34.73
29,6/1/1952,34.53
30,7/1/1952,34.57
31,8/1/1952,34.58
32,9/1/1952,34.51
33,10/1/1952,34.63
34,11/1/1952,34.72
35,12/1/1952,34.79
36,1/1/1953,34.88
37,2/1/1953,34.95
38,3/1/1953,34.92
39,4/1/1953,34.93
40,5/1/1953,34.9
41,6/1/1953,34.89
42,7/1/1953,34.91
43,8/1/1953,34.91
44,9/1/1953,34.76
45,10/1/1953,34.79
46,11/1/1953,34.86
47,12/1/1953,34.85
48,1/1/1954,34.86
49,2/1/1954,34.88
50,3/1/1954,34.92
51,4/1/1954,35.04
52,5/1/1954,35.08
53,6/1/1954,35.07
54,7/1/1954,35.08
55,8/1/1954,35.05
56,9/1/1954,35.08
57,10/1/1954,35.08
58,11/1/1954,35.06
59,12/1/1954,35.04
60,1/1/1955,35.04
61,2/1/1955,35.05
62,3/1/1955,35.06
63,4/1/1955,35.05
64,5/1/1955,35.05
65,6/1/1955,35.04
66,7/1/1955,35.05
67,8/1/1955,35.03
68,9/1/1955,34.98
69,10/1/1955,34.98
70,11/1/1955,34.98
71,12/1/1955,34.97
72,1/1/1956,34.99
73,2/1/1956,34.99
74,3/1/1956,34.99
75,4/1/1956,34.98
76,5/1/1956,34.99
77,6/1/1956,34.98
